salesorderid,customerid,orderdate,orderquantity,productid,unitprice,linetotal
43757,11017,2011-06-14,1,777,3374.99,3374.99
43758,27646,2011-06-15,1,749,3578.27,3578.27
43759,13257,2011-06-15,1,749,3578.27,3578.27
43760,16352,2011-06-15,1,753,3578.27,3578.27
43761,16493,2011-06-15,1,749,3578.27,3578.27
43762,27578,2011-06-16,1,753,3578.27,3578.27
43763,16525,2011-06-16,1,752,3578.27,3578.27
43764,16612,2011-06-16,1,749,3578.27,3578.27
43765,11010,2011-06-16,1,773,3399.99,3399.99
43766,16518,2011-06-17,1,752,3578.27,3578.27
43767,11001,2011-06-17,1,777,3374.99,3374.99
43768,27649,2011-06-18,1,751,3578.27,3578.27
43769,21659,2011-06-18,1,751,3578.27,3578.27
43770,27614,2011-06-18,1,751,3578.27,3578.27
43771,14559,2011-06-18,1,764,699.0982,699.0982
43772,16524,2011-06-18,1,751,3578.27,3578.27
43773,16526,2011-06-18,1,753,3578.27,3578.27
43774,16348,2011-06-18,1,752,3578.27,3578.27
43775,11027,2011-06-18,1,774,3399.99,3399.99
43776,13260,2011-06-19,1,753,3578.27,3578.27
43777,16515,2011-06-19,1,750,3578.27,3578.27
43778,11018,2011-06-19,1,772,3399.99,3399.99
43779,25252,2011-06-19,1,762,699.0982,699.0982
43780,11599,2011-06-20,1,750,3578.27,3578.27
43781,16495,2011-06-20,1,751,3578.27,3578.27
43782,16516,2011-06-20,1,751,3578.27,3578.27
43783,16620,2011-06-20,1,751,3578.27,3578.27
43784,27667,2011-06-21,1,749,3578.27,3578.27
43785,11601,2011-06-21,1,750,3578.27,3578.27
43786,11607,2011-06-21,1,750,3578.27,3578.27
43787,29385,2011-06-21,1,771,3399.99,3399.99
43788,11239,2011-06-21,1,778,3374.99,3374.99
43789,25865,2011-06-21,1,778,3374.99,3374.99
43790,25857,2011-06-21,1,771,3399.99,3399.99
43791,16484,2011-06-21,1,753,3578.27,3578.27
43792,16623,2011-06-21,1,751,3578.27,3578.27
43793,11000,2011-06-21,1,771,3399.99,3399.99
43794,11029,2011-06-21,1,774,3399.99,3399.99
43795,27615,2011-06-22,1,751,3578.27,3578.27
43796,17956,2011-06-22,1,770,699.0982,699.0982
43797,16345,2011-06-22,1,751,3578.27,3578.27
43798,16521,2011-06-22,1,749,3578.27,3578.27
43799,16636,2011-06-22,1,751,3578.27,3578.27
43800,21710,2011-06-23,1,750,3578.27,3578.27
43801,13583,2011-06-23,1,750,3578.27,3578.27
43802,11593,2011-06-23,1,751,3578.27,3578.27
43803,21741,2011-06-24,1,753,3578.27,3578.27
43804,13585,2011-06-24,1,749,3578.27,3578.27
43805,14510,2011-06-24,1,763,699.0982,699.0982
43806,16523,2011-06-24,1,751,3578.27,3578.27
43807,11611,2011-06-25,1,751,3578.27,3578.27
43808,13259,2011-06-25,1,752,3578.27,3578.27
43809,16350,2011-06-25,1,749,3578.27,3578.27
43810,11004,2011-06-25,1,772,3399.99,3399.99
43811,11026,2011-06-25,1,773,3399.99,3399.99
43812,27662,2011-06-26,1,751,3578.27,3578.27
43813,28390,2011-06-26,1,777,3374.99,3374.99
43814,25866,2011-06-26,1,777,3374.99,3374.99
43815,16494,2011-06-26,1,750,3578.27,3578.27
43816,16496,2011-06-26,1,753,3578.27,3578.27
43817,16519,2011-06-26,1,749,3578.27,3578.27
43818,16528,2011-06-26,1,751,3578.27,3578.27
43819,11006,2011-06-26,1,773,3399.99,3399.99
43820,27651,2011-06-27,1,751,3578.27,3578.27
43821,27663,2011-06-27,1,749,3578.27,3578.27
43822,27669,2011-06-27,1,752,3578.27,3578.27
43823,19942,2011-06-27,1,770,699.0982,699.0982
43824,14558,2011-06-27,1,768,699.0982,699.0982
43825,16349,2011-06-27,1,752,3578.27,3578.27
43826,11008,2011-06-27,1,775,3374.99,3374.99
43827,25250,2011-06-27,1,768,699.0982,699.0982
43828,27605,2011-06-28,1,749,3578.27,3578.27
43829,27611,2011-06-28,1,749,3578.27,3578.27
43830,16347,2011-06-28,1,750,3578.27,3578.27
43831,11028,2011-06-28,1,776,3374.99,3374.99
43832,13584,2011-06-28,1,749,3578.27,3578.27
43833,21727,2011-06-29,1,749,3578.27,3578.27
43834,28393,2011-06-29,1,775,3374.99,3374.99
43835,19802,2011-06-29,1,775,3374.99,3374.99
43836,26620,2011-06-29,1,761,699.0982,699.0982
43837,11009,2011-06-29,1,777,3374.99,3374.99
43838,27641,2011-06-30,1,752,3578.27,3578.27
43839,27673,2011-06-30,1,750,3578.27,3578.27
43840,17957,2011-06-30,1,762,699.0982,699.0982
43841,13406,2011-06-30,1,753,3578.27,3578.27
43842,16630,2011-06-30,1,751,3578.27,3578.27
43918,22041,2011-07-01,1,752,3578.27,3578.27
43919,12124,2011-07-01,1,753,3578.27,3578.27
43920,28066,2011-07-01,1,752,3578.27,3578.27
43921,16743,2011-07-01,1,752,3578.27,3578.27
43922,13546,2011-07-01,1,749,3578.27,3578.27
43923,28018,2011-07-02,1,751,3578.27,3578.27
43924,12132,2011-07-02,1,749,3578.27,3578.27
43925,16661,2011-07-02,1,753,3578.27,3578.27
43926,11055,2011-07-03,1,778,3374.99,3374.99
43927,16662,2011-07-03,1,753,3578.27,3578.27
43928,16740,2011-07-03,1,752,3578.27,3578.27
43929,25270,2011-07-03,1,760,699.0982,699.0982
43930,28038,2011-07-04,1,751,3578.27,3578.27
43931,13548,2011-07-04,1,752,3578.27,3578.27
43932,16741,2011-07-04,1,753,3578.27,3578.27
43933,11031,2011-07-04,1,774,3399.99,3399.99
43934,11034,2011-07-04,1,773,3399.99,3399.99
43935,20048,2011-07-05,1,766,699.0982,699.0982
43936,28065,2011-07-05,1,750,3578.27,3578.27
43937,17047,2011-07-05,1,751,3578.27,3578.27
43938,16686,2011-07-05,1,749,3578.27,3578.27
43939,16659,2011-07-05,1,751,3578.27,3578.27
43940,25294,2011-07-05,1,767,699.0982,699.0982
43941,13600,2011-07-06,1,753,3578.27,3578.27
43942,17051,2011-07-06,1,749,3578.27,3578.27
43943,14565,2011-07-06,1,768,699.0982,699.0982
43944,11054,2011-07-06,1,771,3399.99,3399.99
43945,16675,2011-07-06,1,749,3578.27,3578.27
43946,16687,2011-07-06,1,752,3578.27,3578.27
43947,16712,2011-07-06,1,749,3578.27,3578.27
43948,11047,2011-07-06,1,772,3399.99,3399.99
43949,27726,2011-07-07,1,749,3578.27,3578.27
43950,28014,2011-07-07,1,750,3578.27,3578.27
43951,16696,2011-07-07,1,750,3578.27,3578.27
43952,16639,2011-07-07,1,751,3578.27,3578.27
43953,20049,2011-07-08,1,770,699.0982,699.0982
43954,13602,2011-07-08,1,750,3578.27,3578.27
43955,13661,2011-07-08,1,753,3578.27,3578.27
43956,11030,2011-07-08,1,771,3399.99,3399.99
43957,28068,2011-07-09,1,752,3578.27,3578.27
43958,16658,2011-07-09,1,751,3578.27,3578.27
43959,11035,2011-07-09,1,775,3374.99,3374.99
43960,11046,2011-07-09,1,776,3374.99,3374.99
43961,28031,2011-07-10,1,750,3578.27,3578.27
43962,28076,2011-07-10,1,751,3578.27,3578.27
43963,16685,2011-07-10,1,753,3578.27,3578.27
43964,16745,2011-07-10,1,751,3578.27,3578.27
43965,11038,2011-07-10,1,778,3374.99,3374.99
43966,11039,2011-07-10,1,774,3399.99,3399.99
43967,28040,2011-07-11,1,752,3578.27,3578.27
43968,28067,2011-07-11,1,752,3578.27,3578.27
43969,28071,2011-07-11,1,749,3578.27,3578.27
43970,16684,2011-07-11,1,750,3578.27,3578.27
43971,16657,2011-07-11,1,753,3578.27,3578.27
43972,21939,2011-07-12,1,753,3578.27,3578.27
43973,28039,2011-07-12,1,751,3578.27,3578.27
43974,13687,2011-07-12,1,751,3578.27,3578.27
43975,13540,2011-07-12,1,751,3578.27,3578.27
43976,28063,2011-07-12,1,749,3578.27,3578.27
43977,16703,2011-07-12,1,751,3578.27,3578.27
43978,28030,2011-07-13,1,749,3578.27,3578.27
43979,14576,2011-07-13,1,760,699.0982,699.0982
43980,11048,2011-07-13,1,778,3374.99,3374.99
43981,16664,2011-07-13,1,753,3578.27,3578.27
43982,25271,2011-07-13,1,770,699.0982,699.0982
43983,28017,2011-07-14,1,753,3578.27,3578.27
43984,13545,2011-07-14,1,750,3578.27,3578.27
43985,13515,2011-07-14,1,752,3578.27,3578.27
43986,28070,2011-07-14,1,749,3578.27,3578.27
43987,28042,2011-07-15,1,749,3578.27,3578.27
43988,11244,2011-07-15,1,771,3399.99,3399.99
43989,28083,2011-07-15,1,751,3578.27,3578.27
43990,25872,2011-07-15,1,771,3399.99,3399.99
43991,16660,2011-07-15,1,749,3578.27,3578.27
43992,16638,2011-07-15,1,750,3578.27,3578.27
43993,16929,2011-07-17,1,753,3578.27,3578.27
43994,27681,2011-07-18,1,753,3578.27,3578.27
43995,21813,2011-07-18,1,751,3578.27,3578.27
43996,27920,2011-07-18,1,749,3578.27,3578.27
43997,28022,2011-07-18,1,749,3578.27,3578.27
43998,11033,2011-07-18,1,775,3374.99,3374.99
43999,28047,2011-07-18,1,750,3578.27,3578.27
44000,27918,2011-07-19,1,750,3578.27,3578.27
44001,28044,2011-07-19,1,752,3578.27,3578.27
44002,14572,2011-07-19,1,767,699.0982,699.0982
44003,19325,2011-07-19,1,770,699.0982,699.0982
44004,28061,2011-07-19,1,749,3578.27,3578.27
44005,26629,2011-07-19,1,766,699.0982,699.0982
44006,16744,2011-07-19,1,749,3578.27,3578.27
44007,25555,2011-07-19,1,759,699.0982,699.0982
44008,27678,2011-07-20,1,751,3578.27,3578.27
44009,27759,2011-07-20,1,753,3578.27,3578.27
44010,13680,2011-07-20,1,749,3578.27,3578.27
44011,13514,2011-07-20,1,749,3578.27,3578.27
44012,11052,2011-07-20,1,776,3374.99,3374.99
44013,16928,2011-07-20,1,751,3578.27,3578.27
44014,27917,2011-07-21,1,752,3578.27,3578.27
44015,13693,2011-07-21,1,750,3578.27,3578.27
44016,11247,2011-07-21,1,777,3374.99,3374.99
44017,28078,2011-07-21,1,749,3578.27,3578.27
44018,25876,2011-07-21,1,777,3374.99,3374.99
44019,16701,2011-07-21,1,749,3578.27,3578.27
44020,16931,2011-07-21,1,750,3578.27,3578.27
44021,11032,2011-07-21,1,775,3374.99,3374.99
44022,22008,2011-07-22,1,752,3578.27,3578.27
44023,19830,2011-07-22,1,776,3374.99,3374.99
44024,16663,2011-07-22,1,753,3578.27,3578.27
44025,16708,2011-07-22,1,753,3578.27,3578.27
44026,17045,2011-07-22,1,749,3578.27,3578.27
44027,21921,2011-07-23,1,749,3578.27,3578.27
44028,17048,2011-07-23,1,751,3578.27,3578.27
44029,11050,2011-07-23,1,777,3374.99,3374.99
44030,12131,2011-07-24,1,750,3578.27,3578.27
44031,13689,2011-07-24,1,752,3578.27,3578.27
44032,11243,2011-07-24,1,771,3399.99,3399.99
44033,16693,2011-07-24,1,753,3578.27,3578.27
44034,16702,2011-07-24,1,752,3578.27,3578.27
44035,16707,2011-07-24,1,751,3578.27,3578.27
44036,17046,2011-07-24,1,749,3578.27,3578.27
44037,25272,2011-07-24,1,763,699.0982,699.0982
44038,25868,2011-07-24,1,771,3399.99,3399.99
44039,17971,2011-07-25,1,770,699.0982,699.0982
44040,11057,2011-07-25,1,778,3374.99,3374.99
44041,16742,2011-07-25,1,752,3578.27,3578.27
44042,13678,2011-07-26,1,752,3578.27,3578.27
44043,13679,2011-07-26,1,750,3578.27,3578.27
44044,13690,2011-07-26,1,753,3578.27,3578.27
44045,28394,2011-07-26,1,771,3399.99,3399.99
44046,28064,2011-07-26,1,752,3578.27,3578.27
44047,25878,2011-07-26,1,771,3399.99,3399.99
44048,16713,2011-07-26,1,753,3578.27,3578.27
44049,13538,2011-07-27,1,753,3578.27,3578.27
44050,17050,2011-07-27,1,749,3578.27,3578.27
44051,13691,2011-07-28,1,749,3578.27,3578.27
44052,16637,2011-07-28,1,753,3578.27,3578.27
44053,19329,2011-07-29,1,768,699.0982,699.0982
44054,13542,2011-07-29,1,753,3578.27,3578.27
44055,13543,2011-07-29,1,749,3578.27,3578.27
44056,13559,2011-07-29,1,753,3578.27,3578.27
44057,14577,2011-07-29,1,768,699.0982,699.0982
44058,11056,2011-07-29,1,777,3374.99,3374.99
44059,16688,2011-07-29,1,752,3578.27,3578.27
44060,25273,2011-07-29,1,770,699.0982,699.0982
44061,27919,2011-07-30,1,749,3578.27,3578.27
44062,28041,2011-07-30,1,749,3578.27,3578.27
44063,11240,2011-07-30,1,771,3399.99,3399.99
44064,22050,2011-07-30,1,749,3578.27,3578.27
44065,28062,2011-07-30,1,749,3578.27,3578.27
44066,25867,2011-07-30,1,771,3399.99,3399.99
44067,17049,2011-07-30,1,749,3578.27,3578.27
44068,13541,2011-07-31,1,752,3578.27,3578.27
44069,28395,2011-07-31,1,776,3374.99,3374.99
44070,19829,2011-07-31,1,776,3374.99,3374.99
44071,16691,2011-07-31,1,752,3578.27,3578.27
44072,16656,2011-07-31,1,750,3578.27,3578.27
44073,11044,2011-07-31,1,778,3374.99,3374.99
44134,13821,2011-08-01,1,749,3578.27,3578.27
44135,28156,2011-08-01,1,749,3578.27,3578.27
44136,22114,2011-08-01,1,750,3578.27,3578.27
44137,17328,2011-08-01,1,753,3578.27,3578.27
44138,13765,2011-08-02,1,749,3578.27,3578.27
44139,13792,2011-08-02,1,750,3578.27,3578.27
44140,12221,2011-08-02,1,750,3578.27,3578.27
44141,13572,2011-08-02,1,752,3578.27,3578.27
44142,22058,2011-08-02,1,752,3578.27,3578.27
44143,28145,2011-08-02,1,752,3578.27,3578.27
44144,17071,2011-08-02,1,751,3578.27,3578.27
44145,17309,2011-08-02,1,749,3578.27,3578.27
44146,17310,2011-08-02,1,752,3578.27,3578.27
44147,17320,2011-08-02,1,749,3578.27,3578.27
44148,28172,2011-08-03,1,749,3578.27,3578.27
44149,17242,2011-08-03,1,751,3578.27,3578.27
44150,17315,2011-08-03,1,751,3578.27,3578.27
44151,25558,2011-08-03,1,763,699.0982,699.0982
44152,11334,2011-08-04,1,773,3399.99,3399.99
44153,28168,2011-08-04,1,751,3578.27,3578.27
44154,28181,2011-08-04,1,750,3578.27,3578.27
44155,28131,2011-08-04,1,752,3578.27,3578.27
44156,25887,2011-08-04,1,773,3399.99,3399.99
44157,17055,2011-08-04,1,753,3578.27,3578.27
44158,13567,2011-08-05,1,750,3578.27,3578.27
44159,28182,2011-08-05,1,750,3578.27,3578.27
44160,28186,2011-08-05,1,751,3578.27,3578.27
44161,13772,2011-08-06,1,753,3578.27,3578.27
44162,28185,2011-08-06,1,750,3578.27,3578.27
44163,28193,2011-08-06,1,753,3578.27,3578.27
44164,28088,2011-08-06,1,749,3578.27,3578.27
44165,17065,2011-08-06,1,752,3578.27,3578.27
44166,14581,2011-08-06,1,768,699.0982,699.0982
44167,17308,2011-08-06,1,753,3578.27,3578.27
44168,12211,2011-08-07,1,752,3578.27,3578.27
44169,28179,2011-08-07,1,750,3578.27,3578.27
44170,28183,2011-08-07,1,753,3578.27,3578.27
44171,28112,2011-08-07,1,752,3578.27,3578.27
44172,14584,2011-08-07,1,768,699.0982,699.0982
44173,13784,2011-08-08,1,751,3578.27,3578.27
44174,17229,2011-08-08,1,750,3578.27,3578.27
44175,17246,2011-08-08,1,752,3578.27,3578.27
44176,12220,2011-08-09,1,753,3578.27,3578.27
44177,11337,2011-08-09,1,777,3374.99,3374.99
44178,28097,2011-08-09,1,751,3578.27,3578.27
44179,25888,2011-08-09,1,777,3374.99,3374.99
44180,11058,2011-08-09,1,774,3399.99,3399.99
44181,17294,2011-08-09,1,751,3578.27,3578.27
44182,17299,2011-08-09,1,749,3578.27,3578.27
44183,28158,2011-08-10,1,749,3578.27,3578.27
44184,17247,2011-08-10,1,753,3578.27,3578.27
44185,17280,2011-08-10,1,749,3578.27,3578.27
44186,25889,2011-08-12,1,774,3399.99,3399.99
44187,17069,2011-08-12,1,752,3578.27,3578.27
44188,20052,2011-08-13,1,766,699.0982,699.0982
44189,20054,2011-08-13,1,760,699.0982,699.0982
44190,11061,2011-08-13,1,775,3374.99,3374.99
44191,17248,2011-08-13,1,749,3578.27,3578.27
44192,13570,2011-08-14,1,751,3578.27,3578.27
44193,28164,2011-08-14,1,751,3578.27,3578.27
44194,17064,2011-08-14,1,749,3578.27,3578.27
44195,17249,2011-08-14,1,752,3578.27,3578.27
44196,17295,2011-08-14,1,753,3578.27,3578.27
44197,28096,2011-08-15,1,751,3578.27,3578.27
44198,28150,2011-08-15,1,749,3578.27,3578.27
44199,17259,2011-08-15,1,752,3578.27,3578.27
44200,17312,2011-08-15,1,750,3578.27,3578.27
44201,12254,2011-08-16,1,752,3578.27,3578.27
44202,28159,2011-08-16,1,750,3578.27,3578.27
44203,28149,2011-08-16,1,751,3578.27,3578.27
44204,14580,2011-08-16,1,767,699.0982,699.0982
44205,17285,2011-08-16,1,751,3578.27,3578.27
44206,11250,2011-08-17,1,774,3399.99,3399.99
44207,28162,2011-08-17,1,752,3578.27,3578.27
44208,25879,2011-08-17,1,774,3399.99,3399.99
44209,17257,2011-08-17,1,750,3578.27,3578.27
44210,13783,2011-08-18,1,749,3578.27,3578.27
44211,28154,2011-08-18,1,752,3578.27,3578.27
44212,28170,2011-08-18,1,751,3578.27,3578.27
44213,17351,2011-08-18,1,749,3578.27,3578.27
44214,17332,2011-08-18,1,750,3578.27,3578.27
44215,28180,2011-08-19,1,751,3578.27,3578.27
44216,13560,2011-08-19,1,753,3578.27,3578.27
44217,28148,2011-08-19,1,749,3578.27,3578.27
44218,22109,2011-08-19,1,750,3578.27,3578.27
44219,14590,2011-08-19,1,768,699.0982,699.0982
44220,11060,2011-08-19,1,772,3399.99,3399.99
44221,17255,2011-08-19,1,753,3578.27,3578.27
44222,17258,2011-08-19,1,750,3578.27,3578.27
44223,13847,2011-08-20,1,749,3578.27,3578.27
44224,28166,2011-08-20,1,753,3578.27,3578.27
44225,20060,2011-08-21,1,760,699.0982,699.0982
44226,12255,2011-08-21,1,752,3578.27,3578.27
44227,28401,2011-08-21,1,776,3374.99,3374.99
44228,11333,2011-08-21,1,771,3399.99,3399.99
44229,25886,2011-08-21,1,771,3399.99,3399.99
44230,17241,2011-08-21,1,751,3578.27,3578.27
44231,17973,2011-08-21,1,766,699.0982,699.0982
44232,17334,2011-08-21,1,751,3578.27,3578.27
44233,13841,2011-08-22,1,749,3578.27,3578.27
44234,28184,2011-08-22,1,751,3578.27,3578.27
44235,22117,2011-08-22,1,752,3578.27,3578.27
44236,28191,2011-08-22,1,751,3578.27,3578.27
44237,17056,2011-08-22,1,749,3578.27,3578.27
44238,17079,2011-08-22,1,750,3578.27,3578.27
44239,12217,2011-08-23,1,750,3578.27,3578.27
44240,13580,2011-08-23,1,750,3578.27,3578.27
44241,28155,2011-08-23,1,752,3578.27,3578.27
44242,28163,2011-08-23,1,752,3578.27,3578.27
44243,17278,2011-08-23,1,751,3578.27,3578.27
44244,17329,2011-08-23,1,751,3578.27,3578.27
44245,25556,2011-08-23,1,764,699.0982,699.0982
44246,12219,2011-08-24,1,751,3578.27,3578.27
44247,17233,2011-08-24,1,749,3578.27,3578.27
44248,17240,2011-08-24,1,752,3578.27,3578.27
44249,13845,2011-08-25,1,752,3578.27,3578.27
44250,28167,2011-08-25,1,751,3578.27,3578.27
44251,28190,2011-08-25,1,750,3578.27,3578.27
44252,13777,2011-08-26,1,751,3578.27,3578.27
44253,28099,2011-08-26,1,749,3578.27,3578.27
44254,28142,2011-08-26,1,753,3578.27,3578.27
44255,14585,2011-08-26,1,769,699.0982,699.0982
44256,17232,2011-08-26,1,751,3578.27,3578.27
44257,12212,2011-08-27,1,752,3578.27,3578.27
44258,13579,2011-08-27,1,749,3578.27,3578.27
44259,28171,2011-08-27,1,751,3578.27,3578.27
44260,28194,2011-08-27,1,751,3578.27,3578.27
44261,22112,2011-08-27,1,751,3578.27,3578.27
44262,20149,2011-08-27,1,760,699.0982,699.0982
44263,17279,2011-08-27,1,749,3578.27,3578.27
44264,17286,2011-08-27,1,752,3578.27,3578.27
44265,25557,2011-08-27,1,759,699.0982,699.0982
44266,25559,2011-08-27,1,767,699.0982,699.0982
44267,19339,2011-08-28,1,767,699.0982,699.0982
44268,13820,2011-08-28,1,751,3578.27,3578.27
44269,14589,2011-08-29,1,762,699.0982,699.0982
44270,13794,2011-08-30,1,753,3578.27,3578.27
44271,13846,2011-08-30,1,753,3578.27,3578.27
44272,12256,2011-08-30,1,750,3578.27,3578.27
44273,28147,2011-08-30,1,750,3578.27,3578.27
44274,28152,2011-08-30,1,753,3578.27,3578.27
44275,17256,2011-08-30,1,750,3578.27,3578.27
44276,17277,2011-08-30,1,752,3578.27,3578.27
44277,17288,2011-08-30,1,750,3578.27,3578.27
44278,17293,2011-08-30,1,749,3578.27,3578.27
44279,17326,2011-08-30,1,752,3578.27,3578.27
44320,14429,2011-08-31,1,753,3578.27,3578.27
44321,28222,2011-08-31,1,750,3578.27,3578.27
44322,17975,2011-08-31,1,763,699.0982,699.0982
44323,11072,2011-08-31,1,771,3399.99,3399.99
44324,12267,2011-09-01,1,750,3578.27,3578.27
44325,11095,2011-09-01,1,778,3374.99,3374.99
44326,17728,2011-09-01,1,751,3578.27,3578.27
44327,28598,2011-09-02,1,753,3578.27,3578.27
44328,17921,2011-09-02,1,749,3578.27,3578.27
44329,17904,2011-09-02,1,750,3578.27,3578.27
44330,28199,2011-09-02,1,751,3578.27,3578.27
44331,28257,2011-09-03,1,750,3578.27,3578.27
44332,17510,2011-09-03,1,749,3578.27,3578.27
44333,11343,2011-09-04,1,772,3399.99,3399.99
44334,28273,2011-09-04,1,750,3578.27,3578.27
44335,20165,2011-09-04,1,761,699.0982,699.0982
44336,25895,2011-09-04,1,772,3399.99,3399.99
44337,11097,2011-09-04,1,778,3374.99,3374.99
44338,18188,2011-09-04,1,753,3578.27,3578.27
44339,18189,2011-09-04,1,750,3578.27,3578.27
44340,17354,2011-09-04,1,753,3578.27,3578.27
44341,25905,2011-09-05,1,775,3374.99,3374.99
44342,14610,2011-09-05,1,759,699.0982,699.0982
44343,17920,2011-09-05,1,753,3578.27,3578.27
44344,14427,2011-09-06,1,749,3578.27,3578.27
44345,28200,2011-09-06,1,752,3578.27,3578.27
44346,14602,2011-09-06,1,767,699.0982,699.0982
44347,17911,2011-09-06,1,751,3578.27,3578.27
44348,14159,2011-09-07,1,752,3578.27,3578.27
44349,28243,2011-09-07,1,750,3578.27,3578.27
44350,28244,2011-09-07,1,751,3578.27,3578.27
44351,28271,2011-09-07,1,753,3578.27,3578.27
44352,28297,2011-09-07,1,750,3578.27,3578.27
44353,14591,2011-09-07,1,762,699.0982,699.0982
44354,14603,2011-09-07,1,767,699.0982,699.0982
44355,11093,2011-09-07,1,774,3399.99,3399.99
44356,11099,2011-09-07,1,772,3399.99,3399.99
44357,17511,2011-09-07,1,749,3578.27,3578.27
44358,17732,2011-09-07,1,749,3578.27,3578.27
44359,14525,2011-09-08,1,750,3578.27,3578.27
44360,14158,2011-09-08,1,750,3578.27,3578.27
44361,13686,2011-09-08,1,749,3578.27,3578.27
44362,28259,2011-09-08,1,749,3578.27,3578.27
44363,28285,2011-09-08,1,751,3578.27,3578.27
44364,11092,2011-09-08,1,775,3374.99,3374.99
44365,17912,2011-09-08,1,752,3578.27,3578.27
44366,17502,2011-09-08,1,752,3578.27,3578.27
44367,25562,2011-09-08,1,763,699.0982,699.0982
44368,14150,2011-09-09,1,753,3578.27,3578.27
44369,28250,2011-09-09,1,749,3578.27,3578.27
44370,18193,2011-09-09,1,752,3578.27,3578.27
44371,17514,2011-09-09,1,750,3578.27,3578.27
44372,17736,2011-09-09,1,749,3578.27,3578.27
44373,13767,2011-09-10,1,749,3578.27,3578.27
44374,14157,2011-09-10,1,749,3578.27,3578.27
44375,14183,2011-09-10,1,749,3578.27,3578.27
44376,29399,2011-09-10,1,776,3374.99,3374.99
44377,28234,2011-09-10,1,749,3578.27,3578.27
44378,25903,2011-09-10,1,776,3374.99,3374.99
44379,11080,2011-09-10,1,778,3374.99,3374.99
44380,17915,2011-09-10,1,749,3578.27,3578.27
44381,14191,2011-09-11,1,752,3578.27,3578.27
44382,11341,2011-09-11,1,774,3399.99,3399.99
44383,28268,2011-09-11,1,749,3578.27,3578.27
44384,28296,2011-09-11,1,750,3578.27,3578.27
44385,28298,2011-09-11,1,753,3578.27,3578.27
44386,28587,2011-09-11,1,751,3578.27,3578.27
44387,11096,2011-09-11,1,778,3374.99,3374.99
