productid,productname,productnumber,categoryname,subcategoryname,productmodel,listprice
808,LL Mountain Handlebars,HB-M243,Components,Handlebars,LL Mountain Handlebars,44.54
809,ML Mountain Handlebars,HB-M763,Components,Handlebars,ML Mountain Handlebars,61.92
810,HL Mountain Handlebars,HB-M918,Components,Handlebars,HL Mountain Handlebars,120.27
811,LL Road Handlebars,HB-R504,Components,Handlebars,LL Road Handlebars,44.54
812,ML Road Handlebars,HB-R720,Components,Handlebars,ML Road Handlebars,61.92
813,HL Road Handlebars,HB-R956,Components,Handlebars,HL Road Handlebars,120.27
814,"ML Mountain Frame - Black, 38",FR-M63B-38,Components,Mountain Frames,ML Mountain Frame-W,348.76
815,LL Mountain Front Wheel,FW-M423,Components,Wheels,LL Mountain Front Wheel,60.745
816,ML Mountain Front Wheel,FW-M762,Components,Wheels,ML Mountain Front Wheel,209.025
817,HL Mountain Front Wheel,FW-M928,Components,Wheels,HL Mountain Front Wheel,300.215
818,LL Road Front Wheel,FW-R623,Components,Wheels,LL Road Front Wheel,85.565
819,ML Road Front Wheel,FW-R762,Components,Wheels,ML Road Front Wheel,248.385
820,HL Road Front Wheel,FW-R820,Components,Wheels,HL Road Front Wheel,330.06
821,Touring Front Wheel,FW-T905,Components,Wheels,Touring Front Wheel,218.01
822,"ML Road Frame-W - Yellow, 38",FR-R72Y-38,Components,Road Frames,ML Road Frame-W,594.83
823,LL Mountain Rear Wheel,RW-M423,Components,Wheels,LL Mountain Rear Wheel,87.745
824,ML Mountain Rear Wheel,RW-M762,Components,Wheels,ML Mountain Rear Wheel,236.025
825,HL Mountain Rear Wheel,RW-M928,Components,Wheels,HL Mountain Rear Wheel,327.215
826,LL Road Rear Wheel,RW-R623,Components,Wheels,LL Road Rear Wheel,112.565
827,ML Road Rear Wheel,RW-R762,Components,Wheels,ML Road Rear Wheel,275.385
828,HL Road Rear Wheel,RW-R820,Components,Wheels,HL Road Rear Wheel,357.06
829,Touring Rear Wheel,RW-T905,Components,Wheels,Touring Rear Wheel,245.01
830,"ML Mountain Frame - Black, 40",FR-M63B-40,Components,Mountain Frames,ML Mountain Frame,348.76
831,"ML Mountain Frame - Black, 44",FR-M63B-44,Components,Mountain Frames,ML Mountain Frame,348.76
832,"ML Mountain Frame - Black, 48",FR-M63B-48,Components,Mountain Frames,ML Mountain Frame,348.76
833,"ML Road Frame-W - Yellow, 40",FR-R72Y-40,Components,Road Frames,ML Road Frame-W,594.83
834,"ML Road Frame-W - Yellow, 42",FR-R72Y-42,Components,Road Frames,ML Road Frame-W,594.83
835,"ML Road Frame-W - Yellow, 44",FR-R72Y-44,Components,Road Frames,ML Road Frame-W,594.83
836,"ML Road Frame-W - Yellow, 48",FR-R72Y-48,Components,Road Frames,ML Road Frame-W,594.83
837,"HL Road Frame - Black, 62",FR-R92B-62,Components,Road Frames,HL Road Frame,1431.5
838,"HL Road Frame - Black, 44",FR-R92B-44,Components,Road Frames,HL Road Frame,1431.5
839,"HL Road Frame - Black, 48",FR-R92B-48,Components,Road Frames,HL Road Frame,1431.5
840,"HL Road Frame - Black, 52",FR-R92B-52,Components,Road Frames,HL Road Frame,1431.5
841,"Men's Sports Shorts, S",SH-M897-S,Clothing,Shorts,Men's Sports Shorts,59.99
842,"Touring-Panniers, Large",PA-T100,Accessories,Panniers,Touring-Panniers,125.0
843,Cable Lock,LO-C100,Accessories,Locks,Cable Lock,25.0
844,Minipump,PU-0452,Accessories,Pumps,Minipump,19.99
845,Mountain Pump,PU-M044,Accessories,Pumps,Mountain Pump,24.99
846,Taillights - Battery-Powered,LT-T990,Accessories,Lights,Taillight,13.99
847,Headlights - Dual-Beam,LT-H902,Accessories,Lights,Headlights - Dual-Beam,34.99
848,Headlights - Weatherproof,LT-H903,Accessories,Lights,Headlights - Weatherproof,44.99
849,"Men's Sports Shorts, M",SH-M897-M,Clothing,Shorts,Men's Sports Shorts,59.99
850,"Men's Sports Shorts, L",SH-M897-L,Clothing,Shorts,Men's Sports Shorts,59.99
851,"Men's Sports Shorts, XL",SH-M897-X,Clothing,Shorts,Men's Sports Shorts,59.99
852,"Women's Tights, S",TG-W091-S,Clothing,Tights,Women's Tights,74.99
853,"Women's Tights, M",TG-W091-M,Clothing,Tights,Women's Tights,74.99
854,"Women's Tights, L",TG-W091-L,Clothing,Tights,Women's Tights,74.99
855,"Men's Bib-Shorts, S",SB-M891-S,Clothing,Bib-Shorts,Men's Bib-Shorts,89.99
856,"Men's Bib-Shorts, M",SB-M891-M,Clothing,Bib-Shorts,Men's Bib-Shorts,89.99
857,"Men's Bib-Shorts, L",SB-M891-L,Clothing,Bib-Shorts,Men's Bib-Shorts,89.99
858,"Half-Finger Gloves, S",GL-H102-S,Clothing,Gloves,Half-Finger Gloves,24.49
859,"Half-Finger Gloves, M",GL-H102-M,Clothing,Gloves,Half-Finger Gloves,24.49
860,"Half-Finger Gloves, L",GL-H102-L,Clothing,Gloves,Half-Finger Gloves,24.49
861,"Full-Finger Gloves, S",GL-F110-S,Clothing,Gloves,Full-Finger Gloves,37.99
862,"Full-Finger Gloves, M",GL-F110-M,Clothing,Gloves,Full-Finger Gloves,37.99
863,"Full-Finger Gloves, L",GL-F110-L,Clothing,Gloves,Full-Finger Gloves,37.99
864,"Classic Vest, S",VE-C304-S,Clothing,Vests,Classic Vest,63.5
865,"Classic Vest, M",VE-C304-M,Clothing,Vests,Classic Vest,63.5
866,"Classic Vest, L",VE-C304-L,Clothing,Vests,Classic Vest,63.5
867,"Women's Mountain Shorts, S",SH-W890-S,Clothing,Shorts,Women's Mountain Shorts,69.99
868,"Women's Mountain Shorts, M",SH-W890-M,Clothing,Shorts,Women's Mountain Shorts,69.99
869,"Women's Mountain Shorts, L",SH-W890-L,Clothing,Shorts,Women's Mountain Shorts,69.99
870,Water Bottle - 30 oz.,WB-H098,Accessories,Bottles and Cages,Water Bottle,4.99
871,Mountain Bottle Cage,BC-M005,Accessories,Bottles and Cages,Mountain Bottle Cage,9.99
872,Road Bottle Cage,BC-R205,Accessories,Bottles and Cages,Road Bottle Cage,8.99
873,Patch Kit/8 Patches,PK-7098,Accessories,Tires and Tubes,Patch kit,2.29
874,"Racing Socks, M",SO-R809-M,Clothing,Socks,Racing Socks,8.99
875,"Racing Socks, L",SO-R809-L,Clothing,Socks,Racing Socks,8.99
876,Hitch Rack - 4-Bike,RA-H123,Accessories,Bike Racks,Hitch Rack - 4-Bike,120.0
877,Bike Wash - Dissolver,CL-9009,Accessories,Cleaners,Bike Wash,7.95
878,Fender Set - Mountain,FE-6654,Accessories,Fenders,Fender Set - Mountain,21.98
879,All-Purpose Bike Stand,ST-1401,Accessories,Bike Stands,All-Purpose Bike Stand,159.0
880,Hydration Pack - 70 oz.,HY-1023-70,Accessories,Hydration Packs,Hydration Pack,54.99
881,"Short-Sleeve Classic Jersey, S",SJ-0194-S,Clothing,Jerseys,Short-Sleeve Classic Jersey,53.99
882,"Short-Sleeve Classic Jersey, M",SJ-0194-M,Clothing,Jerseys,Short-Sleeve Classic Jersey,53.99
883,"Short-Sleeve Classic Jersey, L",SJ-0194-L,Clothing,Jerseys,Short-Sleeve Classic Jersey,53.99
884,"Short-Sleeve Classic Jersey, XL",SJ-0194-X,Clothing,Jerseys,Short-Sleeve Classic Jersey,53.99
885,"HL Touring Frame - Yellow, 60",FR-T98Y-60,Components,Touring Frames,HL Touring Frame,1003.91
886,"LL Touring Frame - Yellow, 62",FR-T67Y-62,Components,Touring Frames,LL Touring Frame,333.42
887,"HL Touring Frame - Yellow, 46",FR-T98Y-46,Components,Touring Frames,HL Touring Frame,1003.91
888,"HL Touring Frame - Yellow, 50",FR-T98Y-50,Components,Touring Frames,HL Touring Frame,1003.91
889,"HL Touring Frame - Yellow, 54",FR-T98Y-54,Components,Touring Frames,HL Touring Frame,1003.91
890,"HL Touring Frame - Blue, 46",FR-T98U-46,Components,Touring Frames,HL Touring Frame,1003.91
891,"HL Touring Frame - Blue, 50",FR-T98U-50,Components,Touring Frames,HL Touring Frame,1003.91
892,"HL Touring Frame - Blue, 54",FR-T98U-54,Components,Touring Frames,HL Touring Frame,1003.91
893,"HL Touring Frame - Blue, 60",FR-T98U-60,Components,Touring Frames,HL Touring Frame,1003.91
894,Rear Derailleur,RD-2308,Components,Derailleurs,Rear Derailleur,121.46
895,"LL Touring Frame - Blue, 50",FR-T67U-50,Components,Touring Frames,LL Touring Frame,333.42
896,"LL Touring Frame - Blue, 54",FR-T67U-54,Components,Touring Frames,LL Touring Frame,333.42
897,"LL Touring Frame - Blue, 58",FR-T67U-58,Components,Touring Frames,LL Touring Frame,333.42
898,"LL Touring Frame - Blue, 62",FR-T67U-62,Components,Touring Frames,LL Touring Frame,333.42
899,"LL Touring Frame - Yellow, 44",FR-T67Y-44,Components,Touring Frames,LL Touring Frame,333.42
900,"LL Touring Frame - Yellow, 50",FR-T67Y-50,Components,Touring Frames,LL Touring Frame,333.42
901,"LL Touring Frame - Yellow, 54",FR-T67Y-54,Components,Touring Frames,LL Touring Frame,333.42
902,"LL Touring Frame - Yellow, 58",FR-T67Y-58,Components,Touring Frames,LL Touring Frame,333.42
903,"LL Touring Frame - Blue, 44",FR-T67U-44,Components,Touring Frames,LL Touring Frame,333.42
904,"ML Mountain Frame-W - Silver, 40",FR-M63S-40,Components,Mountain Frames,ML Mountain Frame-W,364.09
905,"ML Mountain Frame-W - Silver, 42",FR-M63S-42,Components,Mountain Frames,ML Mountain Frame-W,364.09
906,"ML Mountain Frame-W - Silver, 46",FR-M63S-46,Components,Mountain Frames,ML Mountain Frame-W,364.09
907,Rear Brakes,RB-9231,Components,Brakes,Rear Brakes,106.5
908,LL Mountain Seat/Saddle,SE-M236,Components,Saddles,LL Mountain Seat/Saddle 2,27.12
909,ML Mountain Seat/Saddle,SE-M798,Components,Saddles,ML Mountain Seat/Saddle 2,39.14
910,HL Mountain Seat/Saddle,SE-M940,Components,Saddles,HL Mountain Seat/Saddle 2,52.64
911,LL Road Seat/Saddle,SE-R581,Components,Saddles,LL Road Seat/Saddle 1,27.12
912,ML Road Seat/Saddle,SE-R908,Components,Saddles,ML Road Seat/Saddle 2,39.14
913,HL Road Seat/Saddle,SE-R995,Components,Saddles,HL Road Seat/Saddle 2,52.64
914,LL Touring Seat/Saddle,SE-T312,Components,Saddles,LL Touring Seat/Saddle,27.12
915,ML Touring Seat/Saddle,SE-T762,Components,Saddles,ML Touring Seat/Saddle,39.14
916,HL Touring Seat/Saddle,SE-T924,Components,Saddles,HL Touring Seat/Saddle,52.64
917,"LL Mountain Frame - Silver, 42",FR-M21S-42,Components,Mountain Frames,LL Mountain Frame,264.05
918,"LL Mountain Frame - Silver, 44",FR-M21S-44,Components,Mountain Frames,LL Mountain Frame,264.05
919,"LL Mountain Frame - Silver, 48",FR-M21S-48,Components,Mountain Frames,LL Mountain Frame,264.05
920,"LL Mountain Frame - Silver, 52",FR-M21S-52,Components,Mountain Frames,LL Mountain Frame,264.05
921,Mountain Tire Tube,TT-M928,Accessories,Tires and Tubes,Mountain Tire Tube,4.99
922,Road Tire Tube,TT-R982,Accessories,Tires and Tubes,Road Tire Tube,3.99
923,Touring Tire Tube,TT-T092,Accessories,Tires and Tubes,Touring Tire Tube,4.99
924,"LL Mountain Frame - Black, 42",FR-M21B-42,Components,Mountain Frames,LL Mountain Frame,249.79
925,"LL Mountain Frame - Black, 44",FR-M21B-44,Components,Mountain Frames,LL Mountain Frame,249.79
926,"LL Mountain Frame - Black, 48",FR-M21B-48,Components,Mountain Frames,LL Mountain Frame,249.79
927,"LL Mountain Frame - Black, 52",FR-M21B-52,Components,Mountain Frames,LL Mountain Frame,249.79
928,LL Mountain Tire,TI-M267,Accessories,Tires and Tubes,LL Mountain Tire,24.99
929,ML Mountain Tire,TI-M602,Accessories,Tires and Tubes,ML Mountain Tire,29.99
930,HL Mountain Tire,TI-M823,Accessories,Tires and Tubes,HL Mountain Tire,35.0
931,LL Road Tire,TI-R092,Accessories,Tires and Tubes,LL Road Tire,21.49
932,ML Road Tire,TI-R628,Accessories,Tires and Tubes,ML Road Tire,24.99
933,HL Road Tire,TI-R982,Accessories,Tires and Tubes,HL Road Tire,32.6
934,Touring Tire,TI-T723,Accessories,Tires and Tubes,Touring Tire,28.99
935,LL Mountain Pedal,PD-M282,Components,Pedals,LL Mountain Pedal,40.49
936,ML Mountain Pedal,PD-M340,Components,Pedals,ML Mountain Pedal,62.09
937,HL Mountain Pedal,PD-M562,Components,Pedals,HL Mountain Pedal,80.99
938,LL Road Pedal,PD-R347,Components,Pedals,LL Road Pedal,40.49
939,ML Road Pedal,PD-R563,Components,Pedals,ML Road Pedal,62.09
940,HL Road Pedal,PD-R853,Components,Pedals,HL Road Pedal,80.99
941,Touring Pedal,PD-T852,Components,Pedals,Touring Pedal,80.99
942,"ML Mountain Frame-W - Silver, 38",FR-M63S-38,Components,Mountain Frames,ML Mountain Frame-W,364.09
943,"LL Mountain Frame - Black, 40",FR-M21B-40,Components,Mountain Frames,LL Mountain Frame,249.79
944,"LL Mountain Frame - Silver, 40",FR-M21S-40,Components,Mountain Frames,LL Mountain Frame,264.05
945,Front Derailleur,FD-2342,Components,Derailleurs,Front Derailleur,91.49
946,LL Touring Handlebars,HB-T721,Components,Handlebars,LL Touring Handlebars,46.09
947,HL Touring Handlebars,HB-T928,Components,Handlebars,HL Touring Handlebars,91.57
948,Front Brakes,FB-9873,Components,Brakes,Front Brakes,106.5
949,LL Crankset,CS-4759,Components,Cranksets,LL Crankset,175.49
950,ML Crankset,CS-6583,Components,Cranksets,ML Crankset,256.49
951,HL Crankset,CS-9183,Components,Cranksets,HL Crankset,404.99
952,Chain,CH-0234,Components,Chains,Chain,20.24
953,"Touring-2000 Blue, 60",BK-T44U-60,Bikes,Touring Bikes,Touring-2000,1214.85
954,"Touring-1000 Yellow, 46",BK-T79Y-46,Bikes,Touring Bikes,Touring-1000,2384.07
955,"Touring-1000 Yellow, 50",BK-T79Y-50,Bikes,Touring Bikes,Touring-1000,2384.07
956,"Touring-1000 Yellow, 54",BK-T79Y-54,Bikes,Touring Bikes,Touring-1000,2384.07
957,"Touring-1000 Yellow, 60",BK-T79Y-60,Bikes,Touring Bikes,Touring-1000,2384.07
958,"Touring-3000 Blue, 54",BK-T18U-54,Bikes,Touring Bikes,Touring-3000,742.35
959,"Touring-3000 Blue, 58",BK-T18U-58,Bikes,Touring Bikes,Touring-3000,742.35
960,"Touring-3000 Blue, 62",BK-T18U-62,Bikes,Touring Bikes,Touring-3000,742.35
961,"Touring-3000 Yellow, 44",BK-T18Y-44,Bikes,Touring Bikes,Touring-3000,742.35
962,"Touring-3000 Yellow, 50",BK-T18Y-50,Bikes,Touring Bikes,Touring-3000,742.35
963,"Touring-3000 Yellow, 54",BK-T18Y-54,Bikes,Touring Bikes,Touring-3000,742.35
964,"Touring-3000 Yellow, 58",BK-T18Y-58,Bikes,Touring Bikes,Touring-3000,742.35
965,"Touring-3000 Yellow, 62",BK-T18Y-62,Bikes,Touring Bikes,Touring-3000,742.35
966,"Touring-1000 Blue, 46",BK-T79U-46,Bikes,Touring Bikes,Touring-1000,2384.07
967,"Touring-1000 Blue, 50",BK-T79U-50,Bikes,Touring Bikes,Touring-1000,2384.07
968,"Touring-1000 Blue, 54",BK-T79U-54,Bikes,Touring Bikes,Touring-1000,2384.07
969,"Touring-1000 Blue, 60",BK-T79U-60,Bikes,Touring Bikes,Touring-1000,2384.07
970,"Touring-2000 Blue, 46",BK-T44U-46,Bikes,Touring Bikes,Touring-2000,1214.85
971,"Touring-2000 Blue, 50",BK-T44U-50,Bikes,Touring Bikes,Touring-2000,1214.85
972,"Touring-2000 Blue, 54",BK-T44U-54,Bikes,Touring Bikes,Touring-2000,1214.85
973,"Road-350-W Yellow, 40",BK-R79Y-40,Bikes,Road Bikes,Road-350-W,1700.99
974,"Road-350-W Yellow, 42",BK-R79Y-42,Bikes,Road Bikes,Road-350-W,1700.99
975,"Road-350-W Yellow, 44",BK-R79Y-44,Bikes,Road Bikes,Road-350-W,1700.99
976,"Road-350-W Yellow, 48",BK-R79Y-48,Bikes,Road Bikes,Road-350-W,1700.99
977,"Road-750 Black, 58",BK-R19B-58,Bikes,Road Bikes,Road-750,539.99
978,"Touring-3000 Blue, 44",BK-T18U-44,Bikes,Touring Bikes,Touring-3000,742.35
979,"Touring-3000 Blue, 50",BK-T18U-50,Bikes,Touring Bikes,Touring-3000,742.35
980,"Mountain-400-W Silver, 38",BK-M38S-38,Bikes,Mountain Bikes,Mountain-400-W,769.49
981,"Mountain-400-W Silver, 40",BK-M38S-40,Bikes,Mountain Bikes,Mountain-400-W,769.49
982,"Mountain-400-W Silver, 42",BK-M38S-42,Bikes,Mountain Bikes,Mountain-400-W,769.49
983,"Mountain-400-W Silver, 46",BK-M38S-46,Bikes,Mountain Bikes,Mountain-400-W,769.49
984,"Mountain-500 Silver, 40",BK-M18S-40,Bikes,Mountain Bikes,Mountain-500,564.99
985,"Mountain-500 Silver, 42",BK-M18S-42,Bikes,Mountain Bikes,Mountain-500,564.99
986,"Mountain-500 Silver, 44",BK-M18S-44,Bikes,Mountain Bikes,Mountain-500,564.99
987,"Mountain-500 Silver, 48",BK-M18S-48,Bikes,Mountain Bikes,Mountain-500,564.99
988,"Mountain-500 Silver, 52",BK-M18S-52,Bikes,Mountain Bikes,Mountain-500,564.99
989,"Mountain-500 Black, 40",BK-M18B-40,Bikes,Mountain Bikes,Mountain-500,539.99
990,"Mountain-500 Black, 42",BK-M18B-42,Bikes,Mountain Bikes,Mountain-500,539.99
991,"Mountain-500 Black, 44",BK-M18B-44,Bikes,Mountain Bikes,Mountain-500,539.99
992,"Mountain-500 Black, 48",BK-M18B-48,Bikes,Mountain Bikes,Mountain-500,539.99
993,"Mountain-500 Black, 52",BK-M18B-52,Bikes,Mountain Bikes,Mountain-500,539.99
994,LL Bottom Bracket,BB-7421,Components,Bottom Brackets,LL Bottom Bracket,53.99
